date,close,ma200,dev,z_score,prob
2019-05-30,29.31,32.898930000000014,-0.11551137972329546,-0.19307185174779207,0.42345134846442484
2019-05-31,30.42,32.892530000000015,-0.07814529348831414,0.16360457470988365,0.5649787784309513
2019-06-03,30.73,32.89568000000001,-0.06810196601653425,0.2829857660058145,0.6114061258470128
2019-06-04,29.02,32.88088000000002,-0.12490608636405635,-0.22848844179156289,0.4096332703055056
2019-06-05,28.46,32.87203000000002,-0.14412255154979675,-0.3958134484213563,0.34612132748826396
2019-06-06,27.85,32.86383000000002,-0.16553969452598058,-0.590564316086295,0.2774061900503102
2019-06-07,28.06,32.85973000000002,-0.15790282122424,-0.49896043245659183,0.30890362948269473
2019-06-10,27.86,32.85173000000002,-0.16481243881480725,-0.5539621011957784,0.2898023914993886
2019-06-11,27.91,32.84653000000002,-0.16286106014391652,-0.5184623024664677,0.30206787771408106
2019-06-12,27.78,32.84028000000002,-0.16733947340925873,-0.550212216967961,0.2910869125309635
2019-06-13,27.61,32.83403000000002,-0.17328745161687834,-0.5984122467325976,0.27478244807349594
2019-06-14,27.32,32.82613000000002,-0.18360580987470473,-0.7006295169901376,0.24176712638366737
2019-06-17,27.03,32.81663000000002,-0.19398803880960916,-0.8108589144806767,0.20872334843584306
2019-06-18,26.82,32.80748000000002,-0.20150866031788353,-0.8898065531357332,0.18678488361947004
2019-06-19,25.93,32.78958000000002,-0.23471018244078573,-1.273721695610205,0.10138103235232082
2019-06-20,26.01,32.77118000000002,-0.23106839114627203,-1.2290195942014133,0.10953222981189298
2019-06-21,26.62,32.75788000000002,-0.20748073085920996,-0.9302317773226656,0.17612554607219066
2019-06-24,26.38,32.74248000000002,-0.21606717010515963,-1.0345429785125984,0.15044119772136116
2019-06-25,27.05,32.72593000000003,-0.1904807247398553,-0.6760993790148724,0.2494887754543585
2019-06-26,26.84,32.70608000000002,-0.1976676812380937,-0.7599788868466048,0.22363360262717424
2019-06-27,26.42,32.68828000000003,-0.2128953047789582,-0.9544219220204765,0.16993505698661893
2019-06-28,26.0,32.672780000000024,-0.22844577732908378,-1.151775155690297,0.12470673977733576
2019-07-01,24.56,32.65198000000002,-0.2847863937900741,-1.899002006840521,0.028782106063757258
